[2022-05-13 22:15:18,504] [INFO] - Slf4jLogger started
[2022-05-13 22:15:21,303] [INFO] - Server online at http://0:0:0:0:0:0:0:0:8080/
[2022-05-13 22:16:15,741] [INFO] - process file: C:\projects\temp\ac\localRep\Broadcasts\Admindup\AdminDUPMain.kjb
[2022-05-13 22:16:15,841] [INFO] - process file: C:\projects\temp\ac\localRep\Broadcasts\EstaffUserImport\estaff_mail.kjb
[2022-05-13 22:16:15,868] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\FULL\FULL.kjb
[2022-05-13 22:16:15,884] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\FULL\EasyBI\EasyBI.kjb
[2022-05-13 22:16:15,891] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\FULL\EasyBI\separateEasyBI.kjb
[2022-05-13 22:16:15,903] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\FULL\FIN\Reports.kjb
[2022-05-13 22:16:15,915] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\FULL\FIN\Обновить сводные данные.kjb
[2022-05-13 22:16:15,932] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\FULL\STG\STG.kjb
[2022-05-13 22:16:15,947] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\JiraAutomation\JiraAutomations.kjb
[2022-05-13 22:16:15,957] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\JiraAutomation\VerticalEmployeeAccessJob.kjb
[2022-05-13 22:16:15,971] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\Night\Night.kjb
[2022-05-13 22:16:15,992] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\Night\Django\Django.kjb
[2022-05-13 22:16:16,003] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\Night\JIRA NEW\JIRA NEW.kjb
[2022-05-13 22:16:16,015] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\Night\Portal\Portal.kjb
[2022-05-13 22:16:16,031] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\ProjectPortal\ProjectPortalMain.kjb
[2022-05-13 22:16:16,046] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\ProjectPortal\Datalake\Datalake.kjb
[2022-05-13 22:16:16,066] [INFO] - process file: C:\projects\temp\ac\localRep\jira8migration\runFullAndNight.kjb
[2022-05-13 22:16:16,072] [INFO] - process file: C:\projects\temp\ac\localRep\jira8migration\testChangedTransformations.kjb
[2022-05-13 22:16:16,117] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\AbsenceReport\AbsenceMain.kjb
[2022-05-13 22:16:16,126] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\Allocation\Allocation.kjb
[2022-05-13 22:16:16,136] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\BillingBonus\consolidation.kjb
[2022-05-13 22:16:16,141] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\BillingBonus\detalisation.kjb
[2022-05-13 22:16:16,177] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\BillingBonus\FBBJ.kjb
[2022-05-13 22:16:16,183] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\BillingBonus\fixation.kjb
[2022-05-13 22:16:16,189] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\BillingBonus\f_billing_bonus_job - Copy.kjb
[2022-05-13 22:16:16,199] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\Billings\BillingReportJob.kjb
[2022-05-13 22:16:16,204] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\Billings Forecast\BillingsForecast.kjb
[2022-05-13 22:16:16,211] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\BillingsBonus\BillingsBonus.kjb
[2022-05-13 22:16:16,219] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\BillingsBonus\Calculate substrate.kjb
[2022-05-13 22:16:16,229] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\BillingsBonus\Calculate total.kjb
[2022-05-13 22:16:16,241] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\CubeIssuesReport\CubeReport.kjb
[2022-05-13 22:16:16,249] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\DebtsOfProjectPrograms\DOPPJob.kjb
